CP,Plaza,Estado,Municipio,Colonia,Zona,Caja 1KG,Costo por kilo adicional,Palet
02960,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN FRANCISCO XOCOTITLA,1,$113,$3,$915
02970,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,AMPLIACION DEL GAS,1,$113,$3,$915
02980,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,ARENAL,1,$113,$3,$915
02980,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,PATRIMONIO FAMILIAR,1,$113,$3,$915
02990,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,LA RAZA,1,$113,$3,$915
03000,MEX,DISTRITO FEDERAL,BENITO JUAREZ,PIEDAD NARVARTE,1,$113,$3,$915
03010,MEX,DISTRITO FEDERAL,BENITO JUAREZ,ATENOR SALAS,1,$113,$3,$915
03020,MEX,DISTRITO FEDERAL,BENITO JUAREZ,NARVARTE PONIENTE,1,$113,$3,$915
03023,MEX,DISTRITO FEDERAL,BENITO JUAREZ,NARVARTE ORIENTE,1,$113,$3,$915
03100,MEX,DISTRITO FEDERAL,BENITO JUAREZ,DEL VALLE CENTRO,1,$113,$3,$915
03100,MEX,DISTRITO FEDERAL,BENITO JUAREZ,INSURGENTES SAN BORJA,1,$113,$3,$915
03103,MEX,DISTRITO FEDERAL,BENITO JUAREZ,DEL VALLE NORTE,1,$113,$3,$915
03104,MEX,DISTRITO FEDERAL,BENITO JUAREZ,DEL VALLE SUR,1,$113,$3,$915
03200,MEX,DISTRITO FEDERAL,BENITO JUAREZ,TLACOQUEMECATL,1,$113,$3,$915
03220,MEX,DISTRITO FEDERAL,BENITO JUAREZ,CENTRO URBANO PRESIDENTE MIGUEL ALEMAN,1,$113,$3,$915
03230,MEX,DISTRITO FEDERAL,BENITO JUAREZ,ACTIPAN,1,$113,$3,$915
03240,MEX,DISTRITO FEDERAL,BENITO JUAREZ,ACACIAS,1,$113,$3,$915
03300,MEX,DISTRITO FEDERAL,BENITO JUAREZ,PORTALES SUR,1,$113,$3,$915
03303,MEX,DISTRITO FEDERAL,BENITO JUAREZ,PORTALES NORTE,1,$113,$3,$915
03310,MEX,DISTRITO FEDERAL,BENITO JUAREZ,SANTA CRUZ ATOYAC,1,$113,$3,$915
03320,MEX,DISTRITO FEDERAL,BENITO JUAREZ,RESIDENCIAL EMPERADORES,1,$113,$3,$915
03330,MEX,DISTRITO FEDERAL,BENITO JUAREZ,XOCO,1,$113,$3,$915
03340,MEX,DISTRITO FEDERAL,BENITO JUAREZ,GENERAL PEDRO MARIA ANAYA,1,$113,$3,$915
03400,MEX,DISTRITO FEDERAL,BENITO JUAREZ,ALAMOS,1,$113,$3,$915
03410,MEX,DISTRITO FEDERAL,BENITO JUAREZ,POSTAL,1,$113,$3,$915
03420,MEX,DISTRITO FEDERAL,BENITO JUAREZ,MIGUEL ALEMAN,1,$113,$3,$915
03430,MEX,DISTRITO FEDERAL,BENITO JUAREZ,JOSEFA ORTIZ DE DOMINGUEZ,1,$113,$3,$915
03440,MEX,DISTRITO FEDERAL,BENITO JUAREZ,NINOS HEROES,1,$113,$3,$915
03500,MEX,DISTRITO FEDERAL,BENITO JUAREZ,NATIVITAS,1,$113,$3,$915
03510,MEX,DISTRITO FEDERAL,BENITO JUAREZ,MODERNA,1,$113,$3,$915
03520,MEX,DISTRITO FEDERAL,BENITO JUAREZ,IZTACCIHUATL,1,$113,$3,$915
03530,MEX,DISTRITO FEDERAL,BENITO JUAREZ,VILLA DE CORTES,1,$113,$3,$915
03540,MEX,DISTRITO FEDERAL,BENITO JUAREZ,DEL CARMEN,1,$113,$3,$915
03550,MEX,DISTRITO FEDERAL,BENITO JUAREZ,ZACAHUITZCO,1,$113,$3,$915
03560,MEX,DISTRITO FEDERAL,BENITO JUAREZ,ALBERT,1,$113,$3,$915
03570,MEX,DISTRITO FEDERAL,BENITO JUAREZ,PORTALES ORIENTE,1,$113,$3,$915
03580,MEX,DISTRITO FEDERAL,BENITO JUAREZ,MIRAVALLE,1,$113,$3,$915
03590,MEX,DISTRITO FEDERAL,BENITO JUAREZ,ERMITA,1,$113,$3,$915
03600,MEX,DISTRITO FEDERAL,BENITO JUAREZ,VERTIZ NARVARTE,1,$113,$3,$915
03610,MEX,DISTRITO FEDERAL,BENITO JUAREZ,AMERICAS UNIDAS,1,$113,$3,$915
03620,MEX,DISTRITO FEDERAL,BENITO JUAREZ,PERIODISTA,1,$113,$3,$915
03630,MEX,DISTRITO FEDERAL,BENITO JUAREZ,INDEPENDENCIA,1,$113,$3,$915
03640,MEX,DISTRITO FEDERAL,BENITO JUAREZ,DEL LAGO,1,$113,$3,$915
03650,MEX,DISTRITO FEDERAL,BENITO JUAREZ,LETRAN VALLE,1,$113,$3,$915
03660,MEX,DISTRITO FEDERAL,BENITO JUAREZ,SAN SIMON TICUMAC,1,$113,$3,$915
03700,MEX,DISTRITO FEDERAL,BENITO JUAREZ,SANTA MARIA NONOALCO,1,$113,$3,$915
03710,MEX,DISTRITO FEDERAL,BENITO JUAREZ,CIUDAD DE LOS DEPORTES,1,$113,$3,$915
03720,MEX,DISTRITO FEDERAL,BENITO JUAREZ,NOCHEBUENA,1,$113,$3,$915
03730,MEX,DISTRITO FEDERAL,BENITO JUAREZ,SAN JUAN,1,$113,$3,$915
03740,MEX,DISTRITO FEDERAL,BENITO JUAREZ,EXTREMADURA INSURGENTES,1,$113,$3,$915
03800,MEX,DISTRITO FEDERAL,BENITO JUAREZ,SAN PEDRO DE LOS PINOS,1,$113,$3,$915
03810,MEX,DISTRITO FEDERAL,BENITO JUAREZ,NAPOLES,1,$113,$3,$915
03820,MEX,DISTRITO FEDERAL,BENITO JUAREZ,8 DE AGOSTO,1,$113,$3,$915
03840,MEX,DISTRITO FEDERAL,BENITO JUAREZ,AMPLIACION NAPOLES,1,$113,$3,$915
03849,MEX,DISTRITO FEDERAL,BENITO JUAREZ,CAMARA NACIONAL DE LA INDUSTRIA DE TRANSFORMACION,1,$113,$3,$915
03900,MEX,DISTRITO FEDERAL,BENITO JUAREZ,SAN JOSE INSURGENTES,1,$113,$3,$915
